Position,StateName,Name_x,Name_y,Handle,Affiliation,Body,Score,RankY,RankX,ndups
GA08,South Carolina,Austin Scott,Tim Scott,@AustinScottGA08,R,Senate,67,1,0,0
MS02,Mississippi,Bennie Thompson,Bennie Thompson,@BennieGThompson,D,House of Representatives,100,0,0,0
MN04,Minnesota,Betty McCollum,Betty McCollum,@BettyMcCollum04,D,House of Representatives,100,0,0,0
NJ09,Texas,Bill Jr.,Will Hurd,@BillPascrell,R,House of Representatives,59,1,1,0
VA03,Alabama,Robert Scott,Robert Aderholt,@BobbyScott,R,House of Representatives,67,0,0,0
State,California,Name Sherman,Brad Sherman,@BradSherman,D,House of Representatives,75,0,0,0
MD02,Maryland,Dutch Ruppersberger,Dutch Ruppersberger,@Call_Me_Dutch,D,House of Representatives,100,0,0,0
TX11,Texas,Michael Conaway,Mike Conaway,@ConawayTX11,R,House of Representatives,81,0,0,0
PA02,Pennsylvania,Brendan Boyle,Brendan Boyle,@CongBoyle,D,House of Representatives,100,0,0,0
ID02,Idaho,Michael Simpson,Mike Simpson,@CongMikeSimpson,R,House of Representatives,81,0,0,0
MS04,Mississippi,Steven Palazzo,Steven Palazzo,@CongPalazzo,R,House of Representatives,100,0,0,0
PA15,Mississippi,Glenn Thompson,Bennie Thompson,@CongressmanGT,D,House of Representatives,83,1,0,0
GA10,Georgia,Jody Hice,Jody Hice,@CongressmanHice,R,House of Representatives,100,0,0,0
NJ02,New Jersey,Jefferson Dress,Jeff Van Drew,@CongressmanJVD,D,House of Representatives,64,0,0,0
IL08,Illinois,Raja Krishnamoorthi,Raja Krishnamoorthi,@CongressmanRaja,D,House of Representatives,100,0,0,0
TN04,Tennessee,Scott DesJarlais,Scott DesJarlais,@DesJarlaisTN04,R,House of Representatives,100,0,0,0
NJ01,New Jersey,Donald Norcross,Donald Norcross,@DonaldNorcross,D,House of Representatives,100,0,0,0
FL02,Florida,Neal Dunn,Neal Dunn,@DrNealDunnFL2,R,House of Representatives,100,0,0,0
TN01,North Carolina,David Roe,David Rouzer,@DrPhilRoe,R,House of Representatives,86,1,0,0
NC01,North Carolina,Butterfield Butterfield,G. K. Butterfield,@GKButterfield,D,House of Representatives,60,0,0,0
PA14,Pennsylvania,Guy Reschenthaler,Guy Reschenthaler,@GReschenthaler,R,House of Representatives,100,0,0,0
VA11,Virginia,Gerald Connolly,Gerry Connolly,@GerryConnolly,D,House of Representatives,83,0,0,0
WA03,Washington,Jaime Beutler,Jaime Herrera Beutler,@HerreraBeutler,R,House of Representatives,76,0,0,0
TX23,Texas,Will Hurd,Will Hurd,@HurdOnTheHill,R,House of Representatives,100,0,0,0
MN05,Minnesota,Ilhan Omar,Ilhan Omar,@Ilhan,D,House of Representatives,100,0,0,0
TX18,Texas,Sheila Lee,Sheila Jackson Lee,@JacksonLeeTX18,D,House of Representatives,71,0,0,0
NE01,Nebraska,Jeff Fortenberry,Jeff Fortenberry,@JeffFortenberry,R,House of Representatives,100,0,0,0
RI02,Rhode Island,James Langevin,James Langevin,@JimLangevin,D,House of Representatives,100,0,0,0
WI05,Pennsylvania,James Jr.,Bob Casey Jr.,@JimPressOffice,D,Senate,55,1,1,0
OH04,Minnesota,Jim Jordan,Jim Hagedorn,@Jim_Jordan,R,House of Representatives,64,1,0,0
TX20,Texas,Joaquin Castro,Joaquin Castro,@JoaquinCastrotx,D,House of Representatives,100,0,0,0
TX31,California,John Carter,Josh Harder,@JudgeCarter,D,House of Representatives,73,0,0,0
CA42,California,Ken Calvert,Ken Calvert,@KenCalvert,R,House of Representatives,100,0,0,0
MO01,Missouri,Wm. Clay,Lacy Clay,@LacyClayMO1,D,House of Representatives,59,0,0,0
MD05,Maryland,Steny Hoyer,Steny Hoyer,@LeaderHoyer,D,House of Representatives,100,0,0,0
TX13,Texas,Mac Thornberry,Mac Thornberry,@MacTXPress,R,House of Representatives,100,0,0,0
FL25,Florida,Mario DiazBalart,Mario Díaz-Balart,@MarioDB,R,House of Representatives,91,0,0,0
NV02,Nevada,Mark Amodei,Mark Amodei,@MarkAmodeiNV2,R,House of Representatives,100,0,0,0
PA16,Arizona,Mike Kelly,Mark Kelly,@MikeKellyPA,D,Senate,80,0,0,0
NY17,New York,Nita Lowey,Nita Lowey,@NitaLowey,D,House of Representatives,100,0,0,0
CA35,California,Norma Torres,Norma Torres,@NormaJTorres,D,House of Representatives,100,0,0,0
NY07,New York,Nydia VelÃ¡zquez,Nydia Velázquez,@NydiaVelazquez,D,House of Representatives,90,0,0,0
NC10,North Carolina,Patrick McHenry,Patrick McHenry,@PatrickMcHenry,R,House of Representatives,100,0,0,0
VT,Vermont,Peter Welch,Peter Welch,@PeterWelch,D,House of Representatives,100,0,0,0
OH16,Ohio,Anthony Gonzalez,Anthony Gonzalez,@RepAGonzalez,R,House of Representatives,100,0,0,0
NY14,New York,Alexandria OcasioCortez,Alexandria Ocasio-Cortez,@RepAOC,D,House of Representatives,98,0,0,0
LA05,South Carolina,Ralph Abraham,Ralph Norman,@RepAbraham,R,House of Representatives,64,1,0,0
WA09,Minnesota,Adam Smith,Tina Smith,@RepAdamSmith,D,Senate,70,1,0,0
NC12,North Carolina,Alma Adams,Alma Adams,@RepAdams,D,House of Representatives,100,0,0,0
NE03,Minnesota,Adrian Smith,Tina Smith,@RepAdrianSmith,D,Senate,73,0,0,0
TX09,Tennessee,Green Green,Mark E. Green,@RepAlGreen,R,House of Representatives,58,1,1,0
FL05,Florida,"Lawson, Jr.",Al Lawson,@RepAlLawsonJr,D,House of Representatives,60,1,0,0
WV02,West Virginia,Alexander Mooney,Alex Mooney,@RepAlexMooney,R,House of Representatives,81,0,0,0
IN07,Indiana,AndrÃ© Carson,André Carson,@RepAndreCarson,D,House of Representatives,88,0,0,0
KY06,Arizona,Andy Barr,Andy Biggs,@RepAndyBarr,R,House of Representatives,63,2,0,0
MD01,Arizona,Andy Harris,Andy Biggs,@RepAndyHarrisMD,R,House of Representatives,67,0,0,0
NJ03,Arizona,Andy Kim,Andy Biggs,@RepAndyKimNJ,R,House of Representatives,67,1,0,0
MI09,Michigan,Sander Levin,Andy Levin,@RepAndyLevin,D,House of Representatives,73,0,0,0
MN02,Minnesota,Angie Craig,Angie Craig,@RepAngieCraig,D,House of Representatives,100,0,0,0
MO2,Missouri,Ann Wagner,Ann Wagner,@RepAnnWagner,R,House of Representatives,100,0,0,0
NH02,New Hampshire,Ann Kuster,Ann McLane Kuster,@RepAnnieKuster,D,House of Representatives,74,0,0,0
MD04,Maryland,Anthony Brown,Anthony G. Brown,@RepAnthonyBrown,D,House of Representatives,90,0,0,0
ND,North Dakota,Kelly Armstrong,Kelly Armstrong,@RepArmstrongND,R,House of Representatives,100,0,0,0
TX19,Texas,Jodey Arrington,Jodey Arrington,@RepArrington,R,House of Representatives,100,0,0,0
OH12,Ohio,Troy Balderson,Troy Balderson,@RepBalderson,R,House of Representatives,100,0,0,0
CA44,California,Nanette BarragÃ¡n,Nanette Barragán,@RepBarragan,D,House of Representatives,91,0,0,0
OH03,Ohio,Joyce Beatty,Joyce Beatty,@RepBeatty,D,House of Representatives,100,0,0,0
VA06,Virginia,Ben Cline,Ben Cline,@RepBenCline,R,House of Representatives,100,0,0,0
UT04,Utah,Ben McAdams,Ben McAdams,@RepBenMcAdams,D,House of Representatives,100,0,0,0
TX17,Texas,Bill Flores,Bill Flores,@RepBillFlores,R,House of Representatives,100,0,0,0
IL11,Florida,Bill Foster,Bill Posey,@RepBillFoster,R,House of Representatives,76,1,0,0
OH06,Georgia,Bill Johnson,Hank Johnson,@RepBillJohnson,D,House of Representatives,67,1,0,0
MO03,Missouri,Blaine Luetkemeyer,Blaine Luetkemeyer,@RepBlaine,R,House of Representatives,100,0,0,0
OH07,Ohio,Bob Gibbs,Bob Gibbs,@RepBobGibbs,R,House of Representatives,100,0,0,0
IL01,Illinois,Bobby Rush,Bobby Rush,@RepBobbyRush,D,House of Representatives,100,0,0,0
OR01,Oregon,Suzanne Bonamici,Suzanne Bonamici,@RepBonamici,D,House of Representatives,100,0,0,0
NJ12,New Jersey,Bonnie Coleman,Bonnie Watson Coleman,@RepBonnie,D,House of Representatives,80,0,0,0
IL12,Illinois,Mike Bost,Mike Bost,@RepBost,R,House of Representatives,100,0,0,0
OH02,Ohio,Brad Wenstrup,Brad Wenstrup,@RepBradWenstrup,R,House of Representatives,100,0,0,0
TX36,Texas,Brian Babin,Brian Babin,@RepBrianBabin,R,House of Representatives,100,0,0,0
PA01,Arizona,Brian Fitzpatrick,Ann Kirkpatrick,@RepBrianFitz,D,House of Representatives,62,0,0,0
NY26,New York,Brian Higgins,Brian Higgins,@RepBrianHiggins,D,House of Representatives,100,0,0,0
FL18,Florida,Brian Mast,Brian Mast,@RepBrianMast,R,House of Representatives,100,0,0,0
NY22,New York,Anthony Brindisi,Anthony Brindisi,@RepBrindisi,D,House of Representatives,100,0,0,0
WI01,Wisconsin,Bryan Steil,Bryan Steil,@RepBryanSteil,R,House of Representatives,100,0,0,0
GA01,Missouri,Earl Carter,Emanuel Cleaver,@RepBuddyCarter,D,House of Representatives,62,1,1,0
WV03,New York,Carol Miller,Carolyn Maloney,@RepCarolMiller,D,House of Representatives,67,2,0,0
PA08,Pennsylvania,Matt Cartwright,Matt Cartwright,@RepCartwright,D,House of Representatives,100,0,0,0
IL06,Illinois,Sean Casten,Sean Casten,@RepCasten,D,House of Representatives,100,0,0,0
FL13,Florida,Charlie Crist,Charlie Crist,@RepCharlieCrist,D,House of Representatives,100,0,0,0
IL17,Illinois,Cheri Bustos,Cheri Bustos,@RepCheri,D,House of Representatives,100,0,0,0
TX21,Texas,Chip Roy,Chip Roy,@RepChipRoy,R,House of Representatives,100,0,0,0
NY27,Delaware,Chris Collins,Chris Coons,@RepChrisCollins,D,Senate,83,0,0,0
NH01,Delaware,Chris Pappas,Chris Coons,@RepChrisPappas,D,Senate,61,1,0,0
TN03,Tennessee,Charles Fleischmann,Chuck Fleischmann,@RepChuck,R,House of Representatives,78,0,0,0
IL04,Illinois,JesÃºs GarcÃ­a,"Jesús ""Chuy"" García",@RepChuyGarcia,D,House of Representatives,61,0,0,0
IA03,Iowa,Cynthia Axne,Cindy Axne,@RepCindyAxne,D,House of Representatives,64,0,0,0
LA03,Louisiana,Clay Higgins,Clay Higgins,@RepClayHiggins,R,House of Representatives,100,0,0,0
TX27,Texas,Michael Cloud,Michael Cloud,@RepCloudTX,R,House of Representatives,100,0,0,0
TN09,Tennessee,Steve Cohen,Steve Cohen,@RepCohen,D,House of Representatives,100,0,0,0
TX32,Texas,Colin Allred,Colin Allred,@RepColinAllred,D,House of Representatives,100,0,0,0
PA17,Pennsylvania,Conor Lamb,Conor Lamb,@RepConorLamb,D,House of Representatives,100,0,0,0
TX28,Texas,Henry Cuellar,Henry Cuellar,@RepCuellar,D,House of Representatives,100,0,0,0
MD07,Maryland,Elijah Cummings,Elijah Cummings,@RepCummings,D,House of Representatives,100,0,0,0
CO05,Colorado,Doug Lamborn,Doug Lamborn,@RepDLamborn,R,House of Representatives,100,0,0,0
FL26,Florida,Debbie MucarselPowell,Debbie Mucarsel-Powell,@RepDMP,D,House of Representatives,98,0,0,0
FL23,Florida,Debbie Schultz,Debbie Wasserman Schultz,@RepDWStweets,D,House of Representatives,74,0,0,0
TX02,Texas,Dan Crenshaw,Dan Crenshaw,@RepDanCrenshaw,R,House of Representatives,100,0,0,0
